Temp,Humd,Label
27.7,31.0,1
27.7,31.0,1
25.1,30.0,1
25.1,30.0,1
25.6,30.0,1
25.6,30.0,1
25.4,30.0,1
25.4,30.0,1
25.2,30.0,1
25.2,30.0,1
25.5,30.0,1
25.5,30.0,1
25.4,30.0,1
25.4,30.0,1
25.8,30.0,1
25.8,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.3,30.0,1
25.3,30.0,1
25.2,30.0,1
25.2,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.7,30.0,1
25.7,30.0,1
25.3,30.0,1
25.3,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.8,30.0,1
25.8,30.0,1
25.5,30.0,1
25.5,30.0,1
25.2,32.0,1
25.2,32.0,1
25.9,39.0,1
25.9,39.0,1
25.9,48.0,1
25.9,48.0,1
25.1,55.0,1
25.1,55.0,1
25.4,59.0,1
25.4,59.0,1
25.2,61.0,1
25.2,61.0,1
25.5,57.0,1
25.5,57.0,1
25.2,54.0,1
25.2,54.0,1
25.2,54.0,1
25.2,54.0,1
25.8,55.0,1
25.8,55.0,1
26.3,54.0,1
26.3,54.0,1
26.5,54.0,1
26.5,54.0,1
26.7,56.0,1
26.7,56.0,1
26.0,55.0,1
26.0,55.0,1
26.4,50.0,1
26.4,50.0,1
26.6,48.0,1
26.6,48.0,1
26.2,46.0,1
26.2,46.0,1
26.7,46.0,1
26.7,46.0,1
26.8,44.0,1
26.8,44.0,1
26.0,43.0,1
26.0,43.0,1
26.0,41.0,1
26.0,41.0,1
26.9,40.0,1
26.9,40.0,1
26.4,38.0,1
26.4,38.0,1
26.0,37.0,1
26.0,37.0,1
26.9,36.0,1
26.9,36.0,1
26.6,35.0,1
26.6,35.0,1
26.6,35.0,1
26.6,35.0,1
26.4,34.0,1
26.4,34.0,1
26.1,34.0,1
26.1,34.0,1
26.2,33.0,1
26.2,33.0,1
26.5,33.0,1
26.5,33.0,1
26.4,33.0,1
26.4,33.0,1
26.9,33.0,1
26.9,33.0,1
26.2,33.0,1
26.2,33.0,1
26.0,32.0,1
26.0,32.0,1
26.7,32.0,1
26.7,32.0,1
26.4,32.0,1
26.4,32.0,1
26.2,32.0,1
26.2,32.0,1
26.6,32.0,1
26.6,32.0,1
26.9,32.0,1
26.9,32.0,1
26.3,32.0,1
26.3,32.0,1
26.9,32.0,1
26.9,32.0,1
26.9,32.0,1
26.9,32.0,1
26.6,32.0,1
26.6,32.0,1
26.9,31.0,1
26.9,31.0,1
26.4,31.0,1
26.4,31.0,1
26.6,31.0,1
26.6,31.0,1
26.3,31.0,1
26.3,31.0,1
26.3,31.0,1
26.3,31.0,1
26.1,31.0,1
26.1,31.0,1
26.0,31.0,1
26.0,31.0,1
26.9,31.0,1
26.9,31.0,1
26.9,31.0,1
26.9,31.0,1
26.3,31.0,1
26.3,31.0,1
26.7,31.0,1
26.7,31.0,1
26.6,31.0,1
26.6,31.0,1
26.1,31.0,1
26.1,31.0,1
26.9,31.0,1
26.9,31.0,1
26.0,31.0,1
26.0,31.0,1
26.2,31.0,1
26.2,31.0,1
26.3,31.0,1
26.3,31.0,1
26.8,31.0,1
26.8,31.0,1
26.1,31.0,1
26.1,31.0,1
26.7,31.0,1
26.7,31.0,1
26.4,31.0,1
26.4,31.0,1
26.9,31.0,1
26.9,31.0,1
26.9,31.0,1
26.9,31.0,1
26.8,31.0,1
26.8,31.0,1
26.1,31.0,1
26.1,31.0,1
26.3,31.0,1
26.3,31.0,1
26.1,31.0,1
26.1,31.0,1
26.0,31.0,1
26.0,31.0,1
26.7,31.0,1
26.7,31.0,1
26.1,31.0,1
26.1,31.0,1
26.5,31.0,1
26.5,31.0,1
26.4,31.0,1
26.4,31.0,1
26.7,31.0,1
26.7,31.0,1
26.3,31.0,1
26.3,31.0,1
26.9,31.0,1
26.9,31.0,1
26.6,31.0,1
26.6,31.0,1
26.0,31.0,1
26.0,31.0,1
26.8,31.0,1
26.8,31.0,1
26.7,31.0,1
26.7,31.0,1
26.2,3126.2,1
26.1,31.0,1
26.1,31.0,1
26.6,31.0,1
26.6,31.0,1
26.3,31.0,1
26.3,31.0,1
26.9,3126.9,1
26.2,31.0,1
26.1,31.0,1
26.1,31.0,1
26.7,31.0,1
26.7,31.0,1
26.3,31.0,1
26.3,31.0,1
26.1,31.0,1
26.1,31.0,1
26.3,31.0,1
26.3,31.0,1
26.8,31.0,1
26.8,31.0,1
26.0,31.0,1
26.0,31.0,1
26.4,31.0,1
26.4,31.0,1
26.7,31.0,1
26.7,31.0,1
25.0,31.0,1
25.0,31.0,1
25.6,31.0,1
25.6,31.0,1
25.3,31.0,1
25.3,31.0,1
25.1,31.0,1
25.1,31.0,1
25.8,31.0,1
25.8,31.0,1
25.6,31.0,1
25.6,31.0,1
25.4,31.0,1
25.4,31.0,1
25.6,31.0,1
25.6,31.0,1
25.7,31.0,1
25.7,31.0,1
25.7,31.0,1
25.7,31.0,1
25.4,31.0,1
25.4,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.2,31.0,1
25.2,31.0,1
25.1,31.0,1
25.1,31.0,1
25.8,31.0,1
25.8,31.0,1
25.6,31.0,1
25.6,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.3,31.0,1
25.3,31.0,1
25.8,31.0,1
25.8,31.0,1
25.7,31.0,1
25.7,31.0,1
25.5,31.0,1
25.5,31.0,1
25.9,31.0,1
25.9,31.0,1
25.3,31.0,1
25.3,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.4,31.0,1
25.2,31.0,1
25.2,31.0,1
25.8,31.0,1
25.8,31.0,1
25.5,31.0,1
25.5,31.0,1
25.1,31.0,1
25.1,31.0,1
25.1,31.0,1
25.1,31.0,1
25.4,31.0,1
25.4,31.0,1
25.7,31.0,1
25.7,31.0,1
25.1,31.0,1
25.1,31.0,1
25.0,31.0,1
25.0,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.3,31.0,1
25.6,31.0,1
25.6,31.0,1
25.1,31.0,1
25.1,31.0,1
25.0,31.0,1
25.0,31.0,1
25.3,31.0,1
25.3,31.0,1
25.9,31.0,1
25.9,31.0,1
25.6,31.0,1
25.6,31.0,1
25.8,31.0,1
25.8,31.0,1
25.9,31.0,1
25.9,31.0,1
25.5,31.0,1
25.5,31.0,1
25.6,31.0,1
25.6,31.0,1
25.1,31.0,1
25.1,31.0,1
25.0,31.0,1
25.0,31.0,1
25.3,31.0,1
25.3,31.0,1
25.4,31.0,1
25.4,31.0,1
25.0,31.0,1
25.0,31.0,1
25.9,31.0,1
25.9,31.0,1
25.9,31.0,1
25.9,31.0,1
25.1,31.0,1
25.1,31.0,1
25.3,31.0,1
25.3,31.0,1
25.8,30.0,1
25.8,30.0,1
25.7,30.0,1
25.7,30.0,1
25.6,30.0,1
25.6,30.0,1
25.1,30.0,1
25.1,30.0,1
25.4,30.0,1
25.4,30.0,1
25.6,30.0,1
25.6,30.0,1
25.5,30.0,1
25.5,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.9,30.0,1
25.9,30.0,1
25.0,30.0,1
25.0,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.5,30.0,1
25.5,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.5,30.0,1
25.5,30.0,1
25.2,30.0,1
25.2,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.8,30.0,1
25.8,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.7,30.0,1
25.7,30.0,1
25.3,30.0,1
25.3,30.0,1
25.8,30.0,1
25.8,3025.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.4,30.0,1
25.4,30.0,1
25.0,30.0,1
25.0,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.2,30.0,1
25.2,30.0,1
25.5,30.0,1
25.5,30.0,1
25.4,30.0,1
25.4,30.0,1
25.9,30.0,1
25.9,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.9,30.0,1
25.9,30.0,1
25.2,30.0,1
25.2,30.0,1
25.1,30.0,1
25.1,30.0,1
25.8,30.0,1
25.8,30.0,1
25.4,30.0,1
25.4,30.0,1
25.2,30.0,1
25.2,30.0,1
25.0,30.0,1
25.0,30.0,1
25.1,30.0,1
25.1,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.0,30.0,1
25.0,30.0,1
25.5,30.0,1
25.5,30.0,1
25.3,30.0,1
25.3,30.0,1
25.8,30.0,1
25.8,30.0,1
25.0,30.0,1
25.0,30.0,1
25.3,30.0,1
25.3,30.0,1
25.1,30.0,1
25.1,30.0,1
25.7,30.0,1
25.7,30.0,1
25.9,30.0,1
25.9,30.0,1
25.0,30.0,1
25.0,30.0,1
25.7,30.0,1
25.7,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.8,30.0,1
25.8,30.0,1
25.2,30.0,1
25.2,30.0,1
25.3,30.0,1
25.3,30.0,1
25.3,30.0,1
25.3,30.0,1
25.1,30.0,1
25.1,30.0,1
25.2,30.0,1
25.2,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.9,30.0,1
25.9,30.0,1
25.7,30.0,1
25.7,30.0,1
25.0,30.0,1
25.0,30.0,1
25.9,30.0,1
25.9,30.0,1
25.6,30.0,1
25.6,30.0,1
25.1,30.0,1
25.1,30.0,1
25.7,30.0,1
25.7,30.0,1
25.0,30.0,1
25.0,30.0,1
25.7,30.0,1
25.7,30.0,1
25.7,30.0,1
25.7,30.0,1
25.0,30.0,1
25.0,30.0,1
25.9,30.0,1
25.9,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.8,30.0,1
25.0,30.0,1
25.0,30.0,1
25.4,30.0,1
25.4,30.0,1
25.6,30.0,1
25.6,30.0,1
25.8,30.0,1
25.8,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.8,30.0,1
25.8,30.0,1
25.4,31.0,1
25.4,31.0,1
25.0,32.0,1
25.0,32.0,1
25.8,32.0,1
25.8,32.0,1
25.8,31.0,1
25.8,31.0,1
25.4,31.0,1
25.4,31.0,1
25.0,31.0,1
25.0,31.0,1
25.5,31.0,1
25.5,31.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.9,30.0,1
25.9,30.0,1
25.6,30.0,1
25.6,30.0,1
25.9,30.0,1
25.9,30.0,1
25.1,30.0,1
25.1,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.2,30.0,1
25.5,30.0,1
25.5,30.0,1
25.6,30.0,1
25.6,30.0,1
25.2,30.0,1
25.2,30.0,1
25.0,30.0,1
25.0,30.0,1
25.2,30.0,1
25.2,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.2,30.0,1
25.2,30.0,1
25.8,30.0,1
25.8,30.0,1
25.0,30.0,1
25.0,30.0,1
25.4,30.0,1
25.4,30.0,1
25.3,30.0,1
25.3,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.4,30.0,1
25.4,30.0,1
25.8,30.0,1
25.8,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.9,30.0,1
25.4,30.0,1
25.4,30.0,1
25.2,30.0,1
25.2,30.0,1
25.8,30.0,1
25.8,30.0,1
25.9,30.0,1
25.9,30.0,1
25.5,30.0,1
25.5,30.0,1
25.1,30.0,1
25.1,30.0,1
25.2,30.0,1
25.2,30.0,1
25.5,30.0,1
25.5,30.0,1
25.9,30.0,1
25.9,30.0,1
25.8,30.0,1
25.8,30.0,1
25.4,30.0,1
25.4,30.0,1
25.7,30.0,1
25.7,30.0,1
25.9,30.0,1
25.9,30.0,1
25.4,30.0,1
25.4,30.0,1
25.9,30.0,1
25.9,30.0,1
25.3,30.0,1
25.3,30.0,1
25.3,30.0,1
25.3,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.4,30.0,1
25.4,30.0,1
25.1,30.0,1
25.1,30.0,1
25.4,30.0,1
25.4,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.5,30.0,1
25.1,30.0,1
25.1,30.0,1
25.8,30.0,1
25.8,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.5,30.0,1
25.5,30.0,1
25.6,30.0,1
25.6,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.8,30.0,1
25.8,30.0,1
25.3,30.0,1
25.3,30.0,1
25.8,30.0,1
25.8,30.0,1
25.5,30.0,1
25.5,30.0,1
25.8,30.0,1
25.8,30.0,1
25.1,30.0,1
25.1,30.0,1
25.9,30.0,1
25.9,30.0,1
25.2,30.0,1
25.2,30.0,1
25.3,30.0,1
25.3,30.0,1
25.6,30.0,1
25.6,30.0,1
25.3,30.0,1
25.3,30.0,1
25.6,30.0,1
25.6,30.0,1
25.0,30.0,1
25.0,30.0,1
25.4,30.0,1
25.4,30.0,1
25.7,30.0,1
25.7,30.0,1
25.5,30.0,1
25.5,30.0,1
25.7,30.0,1
25.7,30.0,1
25.0,30.0,1
25.0,30.0,1
25.3,30.0,1
25.3,30.0,1
25.1,30.0,1
25.1,30.0,1
25.8,30.0,1
25.8,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.0,30.0,1
25.0,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.9,30.0,1
25.9,30.0,1
25.8,30.0,1
25.8,30.0,1
25.2,30.0,1
25.2,30.0,1
25.7,30.0,1
25.7,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.3,30.0,1
25.3,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.6,30.0,1
25.8,30.0,1
25.8,30.0,1
25.3,30.0,1
25.3,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.4,30.0,1
25.1,30.0,1
25.1,30.0,1
25.6,30.0,1
25.6,30.0,1
25.0,30.0,1
25.0,30.0,1
25.4,30.0,1
25.4,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.1,30.0,1
25.5,30.0,1
25.5,30.0,1
25.2,30.0,1
25.2,30.0,1
